P_cname,data_type,p_affliation,p_description,p_eduction,p_gender,p_id,p_image,p_interest,p_languages,p_location,p_name,p_profession,p_specialties,s_add_post,s_add_state,s_add_street,s_add_suburb,s_address,s_afterhours,s_bulkbilled,s_clinic_name,s_description,s_id,s_mobile,s_opening_hours,s_phone,s_specialties,s_website
,Practice,,,,,,,,,,,,,3168,VIC,,Clayton,"Medifirst Family Clinic / 1381 Centre Rd, Clayton, VIC, 3168",false,false,Pinstherapy - Eliza Chan Chinese Medicine & Acupuncture,,68363,,,+61395442658,"Acupuncture, Chinese Medicine",
,Practice,,,,,,,,,,,,,6060,WA,,Yokine,"Suite 4 / Suite 4 / 162 Wanneroo Road, Yokine, WA, 6060",false,false,Ping Ming Health Yokine,"Our commitment to providing professional treatment, clinical training and preventive health education has made Ping Ming Health a trusted name in Traditional Chinese Medicine.All of our Chinese medicine practitioners diagnose and practice according to holistic Chinese medicine principles to assist with a wide range of common, chronic and difficult health conditions.Using a combination of natural treatments such as acupuncture, Chinese herbs, massage and cupping, we aim to relieve your symptoms while supporting your body to restore and strengthen its own natural healing ability. Our practitioners will also give you individual lifestyle and dietary advice relevant to your condition, drawing from over two thousand years of Chinese health preservation experience.Chinese medicine offers a safe, gentle and effective alternative to treat those conditions that have failed to respond to contemporary medicine. It also works in conjunction with western medicine and other complementary therapies, or when a natural and drug-free alternative is preferred.Under the guidance of senior practitioner and lecturer Ping Wang, our clinic offers TCM students and graduate practitioners many opportunities to further their clinical education and training.",33357,,,+61893452668,"Chinese Medicine, Acupuncture",
,Practice,,,,,,,,,,,,,3033,VIC,,Keilor East,"45 Wyong Street, Keilor East, VIC, 3033",false,false,Natural Harmony Traditional Chinese Medicine,,41594,,,+61393360317,Chinese Medicine,
,Practice,,,,,,,,,,,,,6150,WA,,Winthrop,"Winthrop Village Shopping Centre / Shop 1 / Shop 1 / 131 Somerville Boulevard, Winthrop, WA, 6150",false,false,Ping Ming Health Winthrop,"Our commitment to providing professional treatment, clinical training and preventive health education has made Ping Ming Health a trusted name in Traditional Chinese Medicine.All of our Chinese medicine practitioners diagnose and practice according to holistic Chinese medicine principles to assist with a wide range of common, chronic and difficult health conditions.Using a combination of natural treatments such as acupuncture, Chinese herbs, massage and cupping, we aim to relieve your symptoms while supporting your body to restore and strengthen its own natural healing ability. Our practitioners will also give you individual lifestyle and dietary advice relevant to your condition, drawing from over two thousand years of Chinese health preservation experience.Chinese medicine offers a safe, gentle and effective alternative to treat those conditions that have failed to respond to contemporary medicine. It also works in conjunction with western medicine and other complementary therapies, or when a natural and drug-free alternative is preferred.Under the guidance of senior practitioner and lecturer Ping Wang, our clinic offers TCM students and graduate practitioners many opportunities to further their clinical education and training.",48002,,,+61893102200,"Acupuncture, Chinese Medicine",
,Practice,,,,,,,,,,,,,6168,WA,,Rockingham,"Suite 2 / 6 Leghorn Street, Rockingham, WA, 6168",false,false,Ping Ming Health Rockingham,"Our commitment to providing professional treatment, clinical training and preventive health education has made Ping Ming Health a trusted name in Traditional Chinese Medicine.All of our Chinese medicine practitioners diagnose and practice according to holistic Chinese medicine principles to assist with a wide range of common, chronic and difficult health conditions.Using a combination of natural treatments such as acupuncture, Chinese herbs, massage and cupping, we aim to relieve your symptoms while supporting your body to restore and strengthen its own natural healing ability. Our practitioners will also give you individual lifestyle and dietary advice relevant to your condition, drawing from over two thousand years of Chinese health preservation experience.Chinese medicine offers a safe, gentle and effective alternative to treat those conditions that have failed to respond to contemporary medicine. It also works in conjunction with western medicine and other complementary therapies, or when a natural and drug-free alternative is preferred.Under the guidance of senior practitioner and lecturer Ping Wang, our clinic offers TCM students and graduate practitioners many opportunities to further their clinical education and training.",60139,,,+61895285264,"Chinese Medicine, Acupuncture",
,Practice,,,,,,,,,,,,,6000,WA,,Perth,"Suite 210 / Suite 210 / 580 Hay Street, Perth, WA, 6000",false,false,Ping Ming Health Perth CBD,"Our commitment to providing professional treatment, clinical training and preventive health education has made Ping Ming Health a trusted name in Traditional Chinese Medicine.All of our Chinese medicine practitioners diagnose and practice according to holistic Chinese medicine principles to assist with a wide range of common, chronic and difficult health conditions.Using a combination of natural treatments such as acupuncture, Chinese herbs, massage and cupping, we aim to relieve your symptoms while supporting your body to restore and strengthen its own natural healing ability. Our practitioners will also give you individual lifestyle and dietary advice relevant to your condition, drawing from over two thousand years of Chinese health preservation experience.Chinese medicine offers a safe, gentle and effective alternative to treat those conditions that have failed to respond to contemporary medicine. It also works in conjunction with western medicine and other complementary therapies, or when a natural and drug-free alternative is preferred.Under the guidance of senior practitioner and lecturer Ping Wang, our clinic offers TCM students and graduate practitioners many opportunities to further their clinical education and training.",46009,,,+61861618254,"Chinese Medicine, Acupuncture",
,Practice,,,,,,,,,,,,,3039,VIC,,Moonee Ponds,"23 Gladstone Street, Moonee Ponds, VIC, 3039",false,false,Moonee Ponds Mind Body Health Centre,,33447,,,+61393720499,"Chinese Medicine, Integrative Medicine",
,Practice,,,,,,,,,,,,,6056,WA,,Midland,"Suite 1 / 10 Burgess Street, Midland, WA, 6056",false,false,Ping Ming Health Midland,"Our commitment to providing professional treatment, clinical training and preventive health education has made Ping Ming Health a trusted name in Traditional Chinese Medicine.All of our Chinese medicine practitioners diagnose and practice according to holistic Chinese medicine principles to assist with a wide range of common, chronic and difficult health conditions.Using a combination of natural treatments such as acupuncture, Chinese herbs, massage and cupping, we aim to relieve your symptoms while supporting your body to restore and strengthen its own natural healing ability. Our practitioners will also give you individual lifestyle and dietary advice relevant to your condition, drawing from over two thousand years of Chinese health preservation experience.Chinese medicine offers a safe, gentle and effective alternative to treat those conditions that have failed to respond to contemporary medicine. It also works in conjunction with western medicine and other complementary therapies, or when a natural and drug-free alternative is preferred.Under the guidance of senior practitioner and lecturer Ping Wang, our clinic offers TCM students and graduate practitioners many opportunities to further their clinical education and training.",60143,,,+61892503200,"Chinese Medicine, Acupuncture",
,Practice,,,,,,,,,,,,,3051,VIC,,North Melbourne,"Chelsea House / Suite 127 / Suite 127 / 55 Flemington Road, North Melbourne, VIC, 3051",false,false,Naturecare Chinese Medicine Clinic,,41595,,,+61396009226,Chinese Medicine,
,Practice,,,,,,,,,,,,,3205,VIC,,South Melbourne,"373 Clarendon St, South Melbourne, VIC, 3205",false,false,Natural Wellness Chinese Medicine,,41528,,,+61435783471,Chinese Medicine,
,Practice,,,,,,,,,,,,,3031,VIC,,Kensington,"51 Market Street, Kensington, VIC, 3031",false,false,Metro Chinese Medicine,,41522,,,+61393761562,Chinese Medicine,
,Practice,,,,,,,,,,,,,2037,NSW,,Glebe,"1 Arundel St, Glebe, NSW, 2037",false,false,Oriental Health and Wellbeing,,40553,,,0417263544  ,Chinese Medicine,
,Practice,,,,,,,,,,,,,3000,VIC,,Melbourne,"Exchange Tower / Suite 6, Level 11 / Suite 6, Level 11 / 530 Little Collins Street, Melbourne, VIC, 3000",false,false,Multicure Chinese Medicine Clinic,,33445,,,+61398584558,Chinese Medicine,
,Practice,,,,,,,,,,,,,5290,SA,,Mount Gambier,"258 Commercial Street, Mount Gambier, SA, 5290",false,false,Mt Gambier Acupuncture & Chinese Medicine Clinic,,41536,,,+61887252306,Chinese Medicine,
,Practice,,,,,,,,,,,,,3070,VIC,,Northcote,"The Dispensary / 2/6 Bridge Street, Northcote, VIC, 3070",false,false,Michaela Rinkel Chinese Medicine - Northcote,,67960,,,            ,"Acupuncture, Chinese Medicine",
,Practice,,,,,,,,,,,,,3121,VIC,,Richmond,"BodyActive Therapies / Level 1 / Level 1 / 246 Bridge Road, Richmond, VIC, 3121",false,false,Michaela Rinkel Chinese Medicine - Richmond,,67959,,,+61394278848,"Acupuncture, Chinese Medicine",
,Practice,,,,,,,,,,,,,6051,WA,,Maylands,"200 Whatley Cresent, Maylands, WA, 6051",false,false,Metrohealth and Medicine,"We are a professional professional practice of Chinese medicine, including acupuncture, moxibustion, cupping, Chinese herbal medicine and Chinese massage.Acupuncture Many people experience a an acupuncture high after treatment. This is typically a pleasant, deeply relaxed, light headed or floating sensation. We encourage you to tell your practitioner how you feel during treatment, so to make the experience as pleasant as possible. Practitioners follow strict hygiene principals and only use single-use sterile needles.It's important to understand there is a difference between traditional acupuncture and a newer technique called ""dry needling"". Acupuncture should be practiced in it's traditional context, i.e. points are chosen according to the Chinese medicine diagnosis. Dry needling is based on Western medicine and there is no utilisation of Chinese medicine theory.Chinese Herbal Medicine We use concentrated granule herbs. The prescription is still made up individually, but in a powder-type from. The granules are very high potency of Chinese herbs. The manufacturing process involves the raw herbs being boiled up and the steam also captured. This is sprayed back into the herbs as they are drying into granule form. One teaspoon equals the typical one cup of boiling up herbs. Instead of drinking a cup of smelly liquid, you only have to take one teaspoon of granules. Although strong tasting, they are easier to drink than boiling up herbs and very convenient.Our herbs are all made up individually for each patient. You do need a prescription from a practitioner to get herbs from our clinic. We also offer a repeat prescription pick-up service. We can repeat any of your previous herbal formulas and can post them out or you can pick up without a consultation. You can now even order them from our online store.Tuina Chinese Massage Our one-hour session of Tuina includes a professional consultation with a TCM practitioner, the tuina massgae treatment (approx. 30 mins) and cupping therapy. The main difference between Tuina and other massage therapies is that it's done through the clothing, it usually is stronger thatn remedial massage, therefore shorter treatments are often used. Our tuina practitioners have Chinese hospital training.&nbsp;If you want to receive only Tuina massage, regular patients can book a 30 minute session which is massage only- no cupping.Fees:Acupuncture&nbsp;Initial $95Subsequent $75Chinese MassageOne-hour Treatment $75Half-hour Treatment $48",47683,,,,"Acupuncture, Chinese Medicine, Massage",
,Practice,,,,,,,,,,,,,6051,WA,,Maylands,"200 Whatley Cresent, Maylands, WA, 6051",false,false,Metro Health,,45403,,,,Chinese Medicine,
,Practice,,,,,,,,,,,,,3000,VIC,,Melbourne,"178 Collins Street, Melbourne, VIC, 3000",false,false,Melbourne Natural Wellness,,41518,,,+61396621311,Chinese Medicine,
,Practice,,,,,,,,,,,,,3000,VIC,,Melbourne,"Ground Floor / Ground Floor / 601 Elizabeth Street, Melbourne, VIC, 3000",false,false,Melbourne City Acupuncture & Chinese Medicine,,33446,,,,Chinese Medicine,
,Practice,,,,,,,,,,,,,2000,NSW,,Sydney,"Dymocks Building / Level 10 / Level 10 / 428 George Street, Sydney, NSW, 2000",false,false,Meridian Healing Centre,,45529,,,+61292313377,Chinese Medicine,
,Practice,,,,,,,,,,,,,3071,VIC,,Thornbury,"622 High Street, Thornbury, VIC, 3071",false,false,Lauren Gannon Chinese Medicine & Acupuncture,,67458,,,            ,Chinese Medicine,
,Practice,,,,,,,,,,,,,3083,VIC,,Bundoora,"12 Grandiflora Grove, Bundoora, VIC, 3083",false,false,Lush Grass Chinese Medicine & Acupuncture Healing Centre,,41511,,,+61384560025,Chinese Medicine,
,Practice,,,,,,,,,,,,,3204,VIC,,Ormond,"20 Dalmor Avenue, Ormond, VIC, 3204",false,false,Luciferous TCM,,67507,,,+61395768538,Chinese Medicine,
,Practice,,,,,,,,,,,,,3068,VIC,,Fitzroy North,"Suite 1 / Suite 1 / 391 St Georges Road, Fitzroy North, VIC, 3068",false,false,Kundalini House,,41558,,,+61394824325,Chinese Medicine,
,Practice,,,,,,,,,,,,,3039,VIC,,Moonee Ponds,"Shop 4 / Shop 4 / 134-136 Pascoe Vale Road, Moonee Ponds, VIC, 3039",false,false,Long Life Health Acupuncture,,69696,,,+61393752928,"Acupuncture, Chinese Medicine",
,Practice,,,,,,,,,,,,,6060,WA,,Yokine,"192A Flinders Street, Yokine, WA, 6060",false,false,Margaret Liu Chinese Herbal Clinic,"The Yui Xiu Hiu Chinese Medicine and Acupunture Clinic was set up in Perth in WA in 1997.&nbsp;Dr Liu has given people relief for a lot of different diseases and she is a well qualified practitioner of Chinese Medicine and Acupuncture.&nbsp;She graduated University in Chinese Medicine in China where she started her career in Chinese Medicine and Acupuncture in TCM Hospital in Guang Zhou, China. Whilst she was practising there she studied from a famous advisor who had been practising for over 30 years in Chinese Medicine Internal Medicine, Traditional Chinese Medicine for Gynaecology, Traditional Chinese Medicine for&nbsp;Dermatology and Rhuematic joint disease therapy.&nbsp;She is responsible for the treatment of patients with serious illness and she seeks depth reasearch of the disease to make every effort to relieve the patient to a speedy recovery.&nbsp;Main services include Chinese Herbal Medicine, Chinese Medicine, Acupuncture and Mixed Cupping Therapy.&nbsp;&nbsp;",47403,,,            ,Chinese Medicine,
,Practice,,,,,,,,,,,,,2027,NSW,,Edgecliff,"Unit 5 / Unit 5 / 201 New South Head Rd, Edgecliff, NSW, 2027",false,false,Liminac Oral Wellbeing,,42805,,,+61293281423,"Acupuncture, Chinese Medicine, Cosmetic Medicine, Dentistry",
,Practice,,,,,,,,,,,,,3149,VIC,,Mount Waverley,"276 Stephensons Road, Mount Waverley, VIC, 3149",false,false,Lin Chinese Medical & Acupuncture Centre,,69602,,,+61398308468,"Acupuncture, Chinese Medicine",
,Practice,,,,,,,,,,,,,3000,VIC,,Melbourne,"12 Collins Street, Melbourne, VIC, 3000",false,false,Jing Cheng Chinese Medicine,,67077,,,+61402211548,Chinese Medicine,
,Practice,,,,,,,,,,,,,2150,NSW,,Parramatta,"75 Macquarie Street, Parramatta, NSW, 2150",false,false,Janet's Chinese Health Therapy,,43131,,,+61298913950,"Chinese Medicine, Massage",
,Practice,,,,,,,,,,,,,3141,VIC,,South Yarra,"Vogue Plaza / 670 Chapel Street, South Yarra, VIC, 3141",false,false,Kura Chinese Medicine,,41556,,,+61394172362,Chinese Medicine,
,Practice,,,,,,,,,,,,,3002,VIC,,East Melbourne,"Suite 512, Level 5 / Suite 512, Level 5 / 100 Victoria Pde, East Melbourne, VIC, 3002",false,false,IVF Acupuncture,,41526,,,+61396504111,Chinese Medicine,
,Practice,,,,,,,,,,,,,3000,VIC,,Melbourne,"Your Day Spa / Level 12 / Level 12 / 15 Collins Street, Melbourne, VIC, 3000",false,false,Kensho Clinic,,33946,,,+61426210888,"Chinese Medicine, Acupuncture",
,Practice,,,,,,,,,,,,,3068,VIC,,Fitzroy North,"698 Nicholson Street, Fitzroy North, VIC, 3068",false,false,Journey to the West,,41533,,,+61410605797,Chinese Medicine,
,Practice,,,,,,,,,,,,,2000,NSW,,Haymarket,"Dixon House / Level 2 suite 203 / Level 2 suite 203 / 413-415 Sussex St, Haymarket, NSW, 2000",false,false,Lesley Kuok Chinese Medicine,,67787,,,            ,Chinese Medicine,
,Practice,,,,,,,,,,,,,2033,NSW,,Kensington,"226  Anzac Parade, Kensington, NSW, 2033",false,false,Kensington Well-Being Centre,,45532,,,+61293138588,Chinese Medicine,
,Practice,,,,,,,,,,,,,6006,WA,,North Perth,"481 Charles Street, North Perth, WA, 6006",false,false,JingHua Acupuncture Clinic,,41610,,,+61892421848,Chinese Medicine,
,Practice,,,,,,,,,,,,,3000,VIC,,Melbourne,"Suite 12 ,Level 1 / Suite 12 ,Level 1 / 329 Little Collins Street, Melbourne, VIC, 3000",false,false,Jacinta Nash Traditional Chinese Medicine,,41599,,,0422980428  ,Chinese Medicine,
,Practice,,,,,,,,,,,,,3000,VIC,,Melbourne,"Manchester Unity Building / Suite 903 / Suite 903 / 220 Collins Street, Melbourne, VIC, 3000",false,false,Iva C. Baloun,,41598,,,+61396547464,Chinese Medicine,
,Practice,,,,,,,,,,,,,6006,WA,,North Perth,"519  Charles Street, North Perth, WA, 6006",false,false,Jing Hua Acupuncture Clinic,,45451,,,+61892421848,Chinese Medicine,
,Practice,,,,,,,,,,,,,3040,VIC,,Essendon,"979 MOUNT ALEXANDER RD, Essendon, VIC, 3040",false,false,Inline Health Chiropractic Essendon,,66168,,,+61393795425,"Chiropractic, Naturopathy, Chinese Medicine",
,Practice,,,,,,,,,,,,,2220,NSW,,Hurstville,"154 Forest Road, Hurstville, NSW, 2220",false,false,Hurstville Clinic,,41688,,,0410159461  ,Chinese Medicine,
,Practice,,,,,,,,,,,,,2040,NSW,,Leichhardt,"48 Norton St, Leichhardt, NSW, 2040",false,false,Integrated Health,,68539,,,+61295181253,Chinese Medicine,
,Practice,,,,,,,,,,,,,3114,VIC,,Park Orchards,"584 Park Road, Park Orchards, VIC, 3114",false,false,Health And Wellbeing Medical Centre,,26788,,,+61398761766,"Chinese Medicine, Myotherapy, Naturopathy, Osteopathy",
,Practice,,,,,,,,,,,,,4122,QLD,,Mount Gravatt,"1410 Logan Road, Mount Gravatt, QLD, 4122",false,false,Health Wealth Clinic,,45627,,,+61738493911,Chinese Medicine,
,Practice,,,,,,,,,,,,,6000,WA,,Perth,"2 / 2 / 33 Barrack Street, Perth, WA, 6000",false,false,Health Point,,45405,,,+61892210390,Chinese Medicine,
,Practice,,,,,,,,,,,,,3101,VIC,,Kew,"Unit 1 / Unit 1 / 3 Wellington Street, Kew, VIC, 3101",false,false,Harmony Chinese Medical Centre,,41534,,,+61398535577,Chinese Medicine,
,Practice,,,,,,,,,,,,,3144,VIC,,Malvern,"Level 2 / Level 2 / 1434 High Street, Malvern, VIC, 3144",false,false,Four Gates Chinese Medicine,,42458,,,+61417312800,Chinese Medicine,
,Practice,,,,,,,,,,,,,4030,QLD,,Wooloowin,"Shop 2 / Shop 2 / 60 Lodge Road, Wooloowin, QLD, 4030",false,false,Health & Healing Wellness Centre,,45619,,,+61738578887,Chinese Medicine,
,Practice,,,,,,,,,,,,,4213,QLD,,Mudgeeraba,"67 Railway Street, Mudgeeraba, QLD, 4213",false,false,Eastern Medical Acupuncture,,69472,,,+61414478787,"Acupuncture, Chinese Medicine",
,Practice,,,,,,,,,,,,,6060,WA,,Tuart Hill,"(Cnr Morley Drive) / (Cnr Morley Drive) / 213 Wanneroo Road, Tuart Hill, WA, 6060",false,false,East Meets West Chinese Medicine,,45404,,,+61893496550,Chinese Medicine,
,Practice,,,,,,,,,,,,,6004,WA,,East Perth,"1st Floor / 1st Floor / 87 Brown Street, East Perth, WA, 6004",false,false,Earth Point Energy Centre,,66841,,,+61892218657,"Chinese Medicine, Acupuncture",
,Practice,,,,,,,,,,,,,3002,VIC,,East Melbourne,"372-376 Albert Street, East Melbourne, VIC, 3002",false,false,Fertile Ground Health Group,,41557,,,+61394199988,Chinese Medicine,
,Practice,,,,,,,,,,,,,2097,NSW,,Wheeler Heights,"26 Berith Street, Wheeler Heights, NSW, 2097",false,false,Flow In Nature,,67697,,,            ,Chinese Medicine,
,Practice,,,,,,,,,,,,,3066,VIC,,Collingwood,"25 Victoria Parade, Collingwood, VIC, 3066",false,false,Facing East Chinese Medicine,"The team at Facing East Chinese Medicine will assist you to understand your health and restore equilibrium within the body through the use of Traditional Chinese Medicine techniques.Chinese medicine treats the body as an integrated whole. This 5000-year-old medical system provides a holistic approach to the treatment of disease, employing techniques such as acupuncture, cupping, moxibustion, Chinese herbal medicine, dietary therapy and lifestyle advice.These treatments restore the body&rsquo;s internal systems and functions to encourage a return to the natural state of balance and well being.Services offered include:General HealthFemale GynaecologyPregnancy &amp; Post-Pregnancy SupportFertility &amp; Preconception CareIVF &amp; Chinese MedicineAcupuncture",56298,,,+61390418110,Chinese Medicine,
,Practice,,,,,,,,,,,,,2750,NSW,,Penrith,"474 High Street, Penrith, NSW, 2750",false,false,Evolution Medical Care,,69379,,,+61247096727,"Acupuncture, Chinese Medicine",
,Practice,,,,,,,,,,,,,3095,VIC,,Eltham,"Suite 6 / Suite 6 / 266 Bolton Street, Eltham, VIC, 3095",false,false,Eltham Acupuncture & Chinese Herbal Medicine,,41607,,,+61394390833,Chinese Medicine,
,Practice,,,,,,,,,,,,,3121,VIC,,Richmond,"Suite 3 / Suite 3 / 193 Lennox St, Richmond, VIC, 3121",false,false,Discover Chinese Medicine,,41593,,,+61390131777,Chinese Medicine,
,Practice,,,,,,,,,,,,,2483,NSW,,Ocean Shores,"144 Balemo Drive, Ocean Shores, NSW, 2483",false,false,Eastern Medical Acupuncture,,69856,,,+61414478787,"Acupuncture, Chinese Medicine",
,Practice,,,,,,,,,,,,,3205,VIC,,South Melbourne,"69 York Street, South Melbourne, VIC, 3205",false,false,Dr Scott Ling Chinese Medicine Practitioner,"Dr Scott Ling, Chinese Medicine Practitioner and AcupuncturistDr Scott Ling is a fully qualified professional Traditional Chinese Medicine practitioner and acupuncturist. Dr Ling is registered under CMRB in both Chinese Medicine and acupuncture as a legal and competent practitioner.Dr Ling spent six years in Shanghai where he graduated with a Bachelor in Medicine from Shanghai University of Traditional Chinese Medicine, renowned as the top TCM university in the world. This is a five year medical degree program and one year internship. During his six years of training, Dr Ling covered both Chinese medicine and Western medicine. He was based at several hospitals including three of Shanghai&rsquo;s largest TCM hospitals, namely Shanghai Yue Yang Hospital, Shanghai Shu Guang Hospital and Shanghai Long Hua Hospital. Due to his unique background of Chinese and Western medicines in mainstream hospital system in Shanghai, he successfully treated a wide range of medical conditions through the use of Chinese Medicine and acupuncture.Dr Ling also holds a Masters degree in reproductive medicine from the University of New South Wales (UNSW). He has a unique integrative knowledge of Western and Chinese Reproductive Medicine. He specializes in reproductive medicine with regards to areas of infertility, gynecological and obstetrical conditions, men&rsquo;s sperm and sexual health, along with Artificial Reproductive Technology (ART) enhancement and endocrine/hormones disorders. Through 10 years of clinical practice and solid academic knowledge background, Dr Ling has had extensive experience and clinical success in assisting couple to get pregnant both naturally and through IVF.Dr Ling emphasizes a holistic approach toward all the medical conditions addressing the whole person rather than just a disease or symptom. He focuses on all aspects of the health issues from lifestyle, environmental, nutrition, energy flow, diet, stress and imbalance to achieve a long-term and sustainable health solution. His combined use of Chinese herbal medicine and acupuncture have proven to be extremely effective for t medical conditions ranging from common colds to complicated medical conditions, and from acute illness to chronic or degenerative diseases.Dr Ling has a wide referral network from GPs, medical specialists and alternative and complementary healthcare professionals. He works hand in hand with other healthcare professionals both in conventional medicine and complementary medicine in order to bring the greatest benefits to his patients.Please refer to his websites www.drscottling.com.au for more information.Expertise&bull; Reproductive Health/ hormonal health&bull; Women&rsquo;s Health/fertility issues/IVF support&bull; Immune disorders/allergies&bull; Mental Health/stress management&bull; Cancer support &amp; recovery&bull; Drug/ steroid dependant conditions&bull; Unexplainable medical conditions&nbsp;QualificationsMaster of Reproductive MedicineUniversity of New South Wales, Sydney, AustraliaBachelor of Medicine (Integrated Chinese and Western Medicine)Shanghai University of Traditional Chinese Medicine, Shanghai, China&nbsp;AssociationsRegistered Chinese Medicine Practitioner of Chinese Medicine Registration Board (CMRB)Registered Acupuncturist of Chinese Medicine Registration Board (CMRB)Member of Australian Acupuncture &amp; Chinese Medicine Association (AACMA)Associate Member of Australasian College of Nutritional and Environmental Medicine (ACNEM)Member of Australasian Integrative Medicine Association Inc (AIMA)Member of Federation of Chinese Medicine &amp; Acupuncture Societies of Australia Inc (FCMA)Member of Federation of Chinese Physicians and Acupuncturists Associations of Malaysia (FCPAAM)",42365,,,+61390412722,Chinese Medicine,
,Practice,,,,,,,,,,,,,3004,VIC,,Melbourne,"Suite 8, level 1 / Suite 8, level 1 / 517 St Kilda Road, Melbourne, VIC, 3004",false,false,Dr. Christine Cui Women's Health Clinic,,46269,,,+61398208651,Chinese Medicine,
,Practice,,,,,,,,,,,,,2000,NSW,,Sydney,"2 / 2 / 8 Spring Street, Sydney, NSW, 2000",false,false,Elevate Clinic - Traditional Chinese Medicine.,,67680,,,,Chinese Medicine,
,Practice,,,,,,,,,,,,,3000,VIC,,Melbourne,"Suite 2A, Level 12 / Suite 2A, Level 12 / 20 Collins Street, Melbourne, VIC, 3000",false,false,Dr Benji Trenkner Chinese Medicine Practitioner,,41524,,,0433089383  ,Chinese Medicine,
,Practice,,,,,,,,,,,,,3000,VIC,,Melbourne,"Level 4 / Level 4 / 12 Collins Street, Melbourne, VIC, 3000",false,false,City Chinese Medicine,,41606,,,+61396392254,Chinese Medicine,
,Practice,,,,,,,,,,,,,2066,NSW,,Lane Cove,"Level 1 / Level 1 / 6  Burns Bay Road, Lane Cove, NSW, 2066",false,false,Dr Lis TCM Clinic,,45526,,,+61294183778,Chinese Medicine,
,Practice,,,,,,,,,,,,,2042,NSW,,Newtown,"15  Gowrie Street, Newtown, NSW, 2042",false,false,Dr Bill Acupuncture & Chinese Medicine,,45537,,,+61280840234,Chinese Medicine,
,Practice,,,,,,,,,,,,,4053,QLD,,McDowall,"53 De Mille Street, McDowall, QLD, 4053",false,false,Dharma Health,,61106,,,+61731086644,"Acupuncture, Chinese Medicine",
,Practice,,,,,,,,,,,,,2040,NSW,,Leichhardt,"133 Catherine Street, Leichhardt, NSW, 2040",false,false,Darling Health,,13978,,,+61295558806,"Psychology, Acupuncture, Chinese Medicine, Kinesiology, Naturopathy, Nutrition",
,Practice,,,,,,,,,,,,,3002,VIC,,East Melbourne,"Suite 512, Level 5 / Suite 512, Level 5 / 100 Victoria Parade, East Melbourne, VIC, 3002",false,false,Danielle Baker Acupuncturist,,41597,,,+61396504111,Chinese Medicine,
,Practice,,,,,,,,,,,,,2570,NSW,,Camden,"16 Broughton Street, Camden, NSW, 2570",false,false,Camden Holistic Health Centre,,16107,,,+61246555400,"General Practice, Acupuncture, Beauty Therapy, Chinese Medicine, Holistic Practice, Massage, Naturop",
,Practice,,,,,,,,,,,,,3083,VIC,,Bundoora,"47 Plenty Road, Bundoora, VIC, 3083",false,false,Bundoora Chinese Medicine,,66495,,,+61394708323,Chinese Medicine,
,Practice,,,,,,,,,,,,,3054,VIC,,Carlton North,"366 Rathdowne Street, Carlton North, VIC, 3054",false,false,Brighter Paths,,41513,,,+61393492677,Chinese Medicine,
,Practice,,,,,,,,,,,,,3000,VIC,,Melbourne,"Level 4 / Level 4 / 407 Swanston Street, Melbourne, VIC, 3000",false,false,City Health,,41515,,,+61396622395,"Chinese Medicine, Physiotherapy",
,Practice,,,,,,,,,,,,,3031,VIC,,Flemington,"24 Ascot Vale Road, Flemington, VIC, 3031",false,false,Chi Temple Natural Therapies,,41517,,,+61393764666,Chinese Medicine,
,Practice,,,,,,,,,,,,,2065,NSW,,Crows Nest,"3 / 3 / 132 Willoughby Road, Crows Nest, NSW, 2065",false,false,Crows Nest Acupuncture & Herbal Centre,,45525,,,+61294383006,Chinese Medicine,
,Practice,,,,,,,,,,,,,6160,WA,,Fremantle,"Suite 8 / Suite 8 / 158 High Street, Fremantle, WA, 6160",false,false,Chinawest Clinic,,33358,,,+61893353111,Chinese Medicine,
,Practice,,,,,,,,,,,,,2067,NSW,,Chatswood,"Shop 5 / Shop 5 / 95 Fullers Road, Chatswood, NSW, 2067",false,false,Chatswood Chinese Medicine and Acupuncture Clinic,,33658,,,0430112132  ,Chinese Medicine,
,Practice,,,,,,,,,,,,,3023,VIC,,Caroline Springs,"62 Commercial Road, Caroline Springs, VIC, 3023",false,false,Caroline Springs Chinese Medicine Clinic,"Dr. Traditional Chinese Medicine. Therapeutic interventions include Acupuncture, Cosmetic Acupuncture, Chinese Medicine, and Food Therapy.",42716,,,+61393632951,"Acupuncture, Chinese Medicine",
,Practice,,,,,,,,,,,,,2560,NSW,,Campbelltown,"Centric Park Central / Suite 11.1 / Suite 11.1 / 4 Hyde Parade, Campbelltown, NSW, 2560",false,false,Camden Osteopathic Clinic,,62412,,,+61246555588,Osteopathy,
